id,pillar,fact,hook_angle,source,status,sensitivity_flag,notes
21,weird,"The Spreckels Organ Pavilion in Balboa Park houses one of the largest outdoor pipe organs in the world, and it's been used for free public concerts since 1915.","There's a free organ concert happening in a park most people just walk past.",Spreckels Organ Society,verified,none,"Verify current superlative wording ('one of the largest' vs 'the largest') against the Society's own claim before publishing."
22,weird,"The Hotel del Coronado, opened in 1888, is one of the largest wooden Victorian beach resorts still standing in the world — and it's said to have inspired L. Frank Baum's vision of Oz.","A San Diego beach hotel may have inspired the Emerald City.",Hotel del Coronado historical materials / San Diego History Center,researching,none,"The Baum/Oz connection is a popular legend, not confirmed fact — script must use 'said to have' / 'as legend has it' framing, per docs/05."
23,weird,"The Star of India, docked at San Diego's Maritime Museum, is the oldest active sailing ship in the world still capable of going to sea — built in 1863.","San Diego is home to the world's oldest ship that can still actually sail.",Maritime Museum of San Diego,verified,none,"Strong visual + superlative hook — double-check current 'oldest active' claim on museum's site before each use, superlatives can be surpassed/updated."
24,weird,"Belmont Park's Giant Dipper roller coaster has been operating in Mission Beach since 1925 and is one of the few wooden coasters from that era still running in the U.S.","A nearly 100-year-old wooden roller coaster is still running two blocks from the beach.",Belmont Park historical materials,verified,none,none
25,neighborhoods,"Chicano Park in Barrio Logan holds the largest collection of outdoor murals in the United States, painted starting in 1970 after a community occupation of the land under the Coronado Bridge.","One neighborhood fought for a park and ended up with the country's biggest outdoor mural collection.",Chicano Park Museum & Cultural Center,verified,none,"Rich, important local history — represent the 1970 occupation accurately and respectfully, not as a footnote."
26,neighborhoods,"Hillcrest became one of the first prominent LGBTQ+ neighborhoods on the West Coast starting in the 1970s-80s, anchored by businesses and community organizing along University Avenue.","One San Diego neighborhood became a West Coast LGBTQ+ landmark decades before it was mainstream.",San Diego LGBT community historical accounts / Lambda Archives of San Diego,researching,handle-with-care,"Sensitive/important community history — verify specifics against Lambda Archives before scripting, avoid vague generalities."
27,neighborhoods,"Ocean Beach's Dog Beach was one of the first officially designated off-leash dog beaches in the United States.","One San Diego beach was ahead of the entire country on letting dogs run free.",City of San Diego Parks & Recreation historical records,researching,none,"Verify 'first in the US' superlative claim carefully — these firsts are often contested nationally."
28,neighborhoods,"Little Italy was originally built around San Diego's tuna fishing and canning industry in the early 1900s, before it became one of the city's most walkable dining districts.","San Diego's trendiest food neighborhood started as a fishing-industry company town.",San Diego History Center,verified,none,"Good 'then vs now' pairing with old cannery photos."
29,then-vs-now,"San Diego's tuna canning industry once made it the 'Tuna Capital of the World' through the mid-20th century, before the industry largely left the city by the 1980s.","San Diego used to feed the entire country's tuna cans.",San Diego History Center / Maritime Museum,verified,none,"Strong then-vs-now visual pillar — old waterfront cannery photos vs today's Seaport Village/Little Italy waterfront."
30,then-vs-now,"Downtown San Diego's waterfront was largely industrial and maritime through most of the 20th century before redevelopment created today's Embarcadero, Seaport Village, and convention-center district.","The polished downtown waterfront everyone photographs today used to be working docks and rail yards.",San Diego History Center,verified,none,none
31,then-vs-now,"Mission Beach's Belmont Park was originally called 'Mission Beach Amusement Center' when it opened in 1925, part of a broader beach-resort development boom in San Diego in the 1920s.","San Diego's beach boardwalk energy dates back a full century.",Belmont Park historical materials,verified,none,none
32,hidden-gems,"The Coronado Bridge's distinctive curve wasn't just for looks — it was engineered to slow drivers and to keep the roadway low enough that it didn't require an impossibly long approach ramp.","That dramatic curve on the Coronado Bridge is functional, not just scenic.",Caltrans historical records / San Diego History Center,researching,none,"Verify precise engineering rationale before scripting — multiple explanations circulate (Navy sightline clearance is another commonly cited factor); confirm which is the documented primary reason."
33,nature,"Mount Soledad, in La Jolla, offers a 360-degree view spanning from the Pacific Ocean to the mountains near the Mexican border on a clear day.","One hill in La Jolla can show you the ocean and the desert mountains in the same glance.",City of San Diego / La Jolla Historical Society,verified,none,none
34,weird,"San Diego International Airport (Lindbergh Field) is named after Charles Lindbergh because the Spirit of St. Louis was built in San Diego in 1927 before his transatlantic flight.","San Diego built the plane that made the first solo transatlantic flight.",San Diego Air & Space Museum,verified,none,"Great pairing with an old Ryan Airlines factory photo."
35,history,"The USS Midway, now a museum ship on San Diego's Embarcadero, was the longest-serving aircraft carrier of the 20th century in the U.S. Navy, commissioned in 1945 and decommissioned in 1992.","One ship parked on San Diego's waterfront served for nearly 50 years.",USS Midway Museum,verified,none,"Verify exact commission/decommission years against the museum's own materials before final script."
